trial,alpha,preclude,preserve,case,time(s),keys,db_size_bytes,L0_total,L0_Hot,L0_Warm,L0_Cold,L0_Unknown,L1_total,L1_Hot,L1_Warm,L1_Cold,L1_Unknown,L2_total,L2_Hot,L2_Warm,L2_Cold,L2_Unknown,L3_total,L3_Hot,L3_Warm,L3_Cold,L3_Unknown,L4_total,L4_Hot,L4_Warm,L4_Cold,L4_Unknown,L5_total,L5_Hot,L5_Warm,L5_Cold,L5_Unknown,L6_total,L6_Hot,L6_Warm,L6_Cold,L6_Unknown,WAF,throughput,last_level_byte_ratio,last_level_count_ratio,compaction_time(s),compaction_ratio,stall_flush_total(s),Latency,compressed_from,compressed_to,flush_bytes,compact_bytes,write_latency_sum,compaction_latency_sum,cold.read.bytes,cold.read.count,last.level.read.bytes,non.last.level.read.bytes
3,1.2,25,25,50,65.6473,1000000,216126990,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0716359985036414,249928828.66469756,0.3158604111572325,0.3152133018414397,15.465989,0.2356,51.653969,63.693372,23550570928,1168641271,235451150,939891623,0,36215207,114668846,139518,347260100,752149917
3,1.2,40,40,80,58.0375,1000000,237025177,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0610795228509409,282699165.0915356,0.03897013630218537,0.03846958711649026,13.414637,0.2311,44.258301,56.047923,20106591773,997832741,235702050,766439014,0,30112394,0,0,35467236,874645978
1,0.9,120,120,100,76.0977,1000000,468635690,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.138719871311212,215631880.28021872,0.0950748216520086,0.0938478081902484,27.127565,0.3565,61.992672,73.943491,45617118764,2266037673,620305404,1655961468,0,54145876,0,0,185640571,1766932863
2,0.9,65,65,80,77.0971,1000000,496911833,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.1401085713433978,212836671.36636788,0.0835067944823223,0.08252953227495716,26.883331,0.3487,63.011997,75.050803,46040113559,2287113913,620304729,1678749447,0,54311323,0,0,162850570,1787296972
3,0.5,0,0,0,91.7259,1000000,771675114,6,0,0,0,6,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,6,0,0,6,0,1.19808793127346,178908494.29659453,0.11870375795069085,0.1174409191221319,37.105247,0.4045,75.622416,89.383261,65106123866,3233793273,810501516,2440228930,0,70389097,317535904,381240,317535904,2357492330
2,0.5,80,80,80,92.9991,1000000,735577171,11,0,0,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,1.197548147721804,176459155.59397888,0.14366843380244645,0.14205243790361574,37.28673,0.4009,77.619021,90.737078,64917116588,3226282314,810373861,2431498444,0,72348181,0,0,384960843,2294548029
2,0.5,20,20,20,107.037,1000000,714172861,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,4,0,0,4,0,1.2349204625086274,153316541.54170987,0.3477099422163958,0.3471739225801048,46.37595,0.4333,90.747457,104.464685,77221097245,3835225666,810387378,3044784893,0,84626199,559837625,678846,1148473214,2154490189
2,1.2,10,10,20,64.9463,1000000,209632827,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1.0644723148666497,252626443.6003283,0.19667355532528724,0.19622212152914287,13.985317,0.2153,51.339151,62.959958,21198670614,1051812658,235453750,822353371,0,34227093,84386865,102331,193756987,791413524
2,0.9,40,40,50,93.6986,1000000,423155022,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,1.1821498261163552,175126310.70261455,0.40632519495500513,0.4057342245611546,37.093508,0.3959,78.932042,91.44447,59867913937,2972771135,620022931,2368889984,0,73744008,370432102,450123,1101880984,1609939493
2,0.9,15,15,20,77.0672,1000000,429154040,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,3,0,1.1670729819434273,212919246.2681919,0.38703397582009996,0.38650353063159876,33.31,0.4322,62.033556,74.868132,54932808813,2726878227,620601213,2120914407,0,63070643,481458997,584767,952498426,1508521757
1,1.2,25,25,50,72.4272,1000000,219508268,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0621358207484248,226533026.18353325,0.0709552096484647,0.07002441652827163,13.928297,0.1923,58.699482,70.448064,20425508469,1013711378,235203831,784268074,0,36877286,473354,4,67121172,878844210
